The Day the Earth Stood Still,1951,The Day the Earth Stood Still,2008
The Fly,1958,The Fly,1986
Invasion of the Body Snatchers,1956,Invasion of the Body Snatchers,1978
Invasion of the Body Snatchers,1956,The Invasion,2007
The Thing,1982,The Thing,2011
Total Recall,1990,Total Recall,2012
Robocop,1987,Robocop,2014
The Stepford Wives,1975,The Stepford Wives,2004
Firestarter,1984,Firestarter,2022
Tron,1982,Tron,2010
Frankenstein,1931,Frankenstein,1973
Frankenstein,1931,Frankenstein,1992
Frankenstein,1931,Frankenstein,2004
Flatliners,1990,Flatliners,2017
The Last Man on Earth,1964,The Omega Man,1971
The Last Man on Earth,1964,I Am Legend,2007
Westworld,1973,Westworld,2016
Blade Runner,1982,Blade Runner,2017
The Invisible Man,1933,The Invisible Man,2020
The Blob,1958,The Blob,1988
Judge Dredd,1995,Dredd,2012
La Jetee,1962,12 Monkeys,1995
World on a Wire,1973,The Thirteenth Floor,1999
Invaders from Mars,1953,Invaders from Mars,1986
Godzilla,1954,Godzilla,2014
The Island of Dr. Moreau,1977,The Island of Dr. Moreau,1996
Village of the Damned,1960,Village of the Damned,1995
Ghost in the Shell,1995,Ghost in the Shell,2017
The Dead Zone,1983,The Dead Zone,2002
Lady Snowblood,1973,Princess Blade,2001
Not of this Earth,1957,Not of this Earth,1988
Planet of the Apes,1968,Planet of the Apes,2001
Attack of the 50 Foot Woman,1958,Attack of the 50 Ft. Woman,1993
The Land That Time Forgot,1974,The Land That Time Forgot,2009
The Man Who Fell to Earth,1976,The Man Who Fell to Earth,1987
